DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location,Zip Codes,Census Tracts,Precinct Boundaries,LA Specific Plans,Council Districts,Neighborhood Councils (Certified)
201805011,01/16/2020,01/16/2020,0005,18,Southeast,1839,997,TRAFFIC COLLISION,4018 3037 3006 3028 3030 3101 0605,,X,X,101,STREET,WEIGAND                      AV,108TH                        ST,"(33.937, -118.2302)",24354,823,1184,7,15,40
200804843,01/19/2020,01/19/2020,0005,08,West LA,0819,997,TRAFFIC COLLISION,3701 3004 3026 3035 3037 3101 3401 4008,25,M,H,101,STREET,WILSHIRE                     BL,COMSTOCK                     AV,"(34.0676, -118.4273)",23442,845,741,9,6,72
201310698,05/10/2020,05/10/2020,0005,13,Newton,1327,997,TRAFFIC COLLISION,0605 3104 3701 3006 3029 3026 3401,53,M,H,101,STREET,1400 E  25TH                         ST,,"(34.0172, -118.2442)",22727,707,969,7,13,6
201706621,03/01/2020,03/01/2020,0005,17,Devonshire,1782,997,TRAFFIC COLLISION,3004 3026 3029 3037 3101 4021,50,M,H,101,STREET,NORDHOFF                     ST,CORBIN                       AV,"(34.232, -118.5623)",18513,101,1426,,2,77
210309727,05/02/2021,05/02/2021,0005,03,Southwest,0332,997,TRAFFIC COLLISION,4025 3036 3004 3026 3101,42,M,B,101,STREET,JEFFERSON                    BL,BUCKINGHAM                   RD,"(34.0256, -118.3405)",23077,668,926,7,12,17
211821826,12/21/2021,12/21/2021,0005,18,Southeast,1842,997,TRAFFIC COLLISION,3011 3028 4025 3030 3034 3101 3037,40,F,B,101,STREET,109TH                        PL,SAN PEDRO                    ST,"(33.9365, -118.2695)",24355,808,1190,7,14,45
201805495,01/27/2020,01/27/2020,0005,18,Southeast,1849,997,TRAFFIC COLLISION,3006 3028 3030 3101 3037 0605,43,M,H,101,STREET,WILMINGTON,109TH                        ST,"(33.9371, -118.239)",24354,824,705,7,15,40
201205954,01/28/2020,01/28/2020,0005,12,77th Street,1208,997,TRAFFIC COLLISION,0605 4012 3036 3004 3026 3029 3101,29,F,H,101,STREET,51ST                         ST,FIGUEROA                     ST,"(33.9965, -118.2827)",23668,739,989,7,13,2
202005134,01/17/2020,01/17/2020,0005,20,Olympic,2002,997,TRAFFIC COLLISION,3028 3004 3030 3035 3036 3101 3401 3701 4020,60,M,K,101,STREET,WESTERN,ELMWOOD,"(34.0783, -118.3092)",22721,450,1053,,7,89
210508582,05/02/2021,05/02/2021,0005,05,Harbor,0515,997,TRAFFIC COLLISION,4025 3037 3006 3028 3030 3101,20,M,H,101,STREET,NEPTUNE                      AV,PACIFIC COAST                HY,"(33.7908, -118.2699)",3350,959,641,,15,15
